Company,CTC(in L),1st year tc,Students
Thoughtspot,81,37,1
Qualcomm,51,41.2,1
Nvidia,43.86,31.86,1
Texas inst,41.36,34.36,1
Google,58,40,1
Flipkart-SDE,39.4,31,1
Samsung,36.35,36.35,1
OLA,37,37,1
Oracle,64,34.1,2
Flipkart-DS,32.57,27,1
Mathwork,29.29,29.29,1
Juniper,27.6,21.6,3
C3ihub,26.3,26.3,2
Cars24,26,28.5,3
Samsung-Blr,25,25,2
Samsung-Delhi,24.5,24.5,3
Netradyne,22,19,1
Shiprocket,15,15,5
SAP Labs,39.5,25.6,3
Torus,21,21,1
C-dot,21,21,1
Ideaforge,22,22,1
Bajaj,20.74,14.74,1
Axtria,14.5,14.5,1
Zinnia,16.5,16.5,1
Reliance,15,15,1
CAMSL,12,12,2
AVG CTC,30.5807,,
MED CTC,26.3,,
AVG 1st year tc,,24.9349,
MED 1st year tc,,25,
Offers,,,43
